Date,Name,Replicate,Time_min,N2O_nmol,f,delta_p,delta_alpha,delta_beta,delta_o,SP,N_s0,sample_N2O_nmol,sd_sample_nmol,sample_V,N2O_nmol_rxn_bottle,sd_N2O_nmol,sd_f
NA,time_0,time_0,0,0,1,NA,NA,NA,NA,NA,10292.4,NA,,,,,
2/23/2017,cNOR Rep 1-1,1,40,1218.512878,0.763220917,-47.33926,-43.00249,-51.69416,11.34185,8.69167,10292.4,11.59,0.86,1.4,1218.512878,90.90013354,0.057502808
2/23/2017,cNOR Rep 1-3,1,120,3074.239574,0.402619669,-45.3871,-41.93894,-48.85348,15.30189,6.91455,10292.4,18.73,0.95,0.9,3062.650456,158.4414495,0.021181094
2/23/2017,cNOR Rep 1-4,1,160,3403.935994,0.338553693,-44.87248,-43.61052,-46.15268,16.68382,2.54216,10292.4,18.33,0.93,0.8,3373.621433,175.610608,0.017827958
2/23/2017,cNOR  Rep 1-5,1,200,3421.414936,0.335157219,-44.68041,-44.34279,-45.03627,17.52831,0.69348,10292.4,16.04,0.87,0.7,3372.765475,186.7819244,0.01863577
2/23/2017,cNOR Rep 1-6,1,240,3813.760828,0.258917318,-44.56384,-44.11798,-45.02794,17.67108,0.90996,10292.4,15.28,0.86,0.6,3749.072401,214.4012698,0.014810105
2/23/2017,cNOR Rep 1-7,1,280,3621.907369,0.296197914,-45.0406,-45.19969,-44.89975,17.44109,-0.29994,10292.4,13.23,0.84,0.55,3541.937397,229.1120633,0.018995731
2/23/2017,cNOR Rep 1-8,1,320,3957.978015,0.230893311,-44.7996,-45.68087,-43.93656,17.92318,-1.7443,10292.4,13.13,0.84,0.5,3864.773902,252.0028826,0.014901532
2/28/2017,cNOR Rep 2-1,2,40,1081.992422,0.78974931,-48.44318,-45.50741,-50.03428,8.80855,4.52687,10292.4,10.29,0.52,1.4,1081.992422,55.72692604,0.041520647
2/28/2017,cNOR Rep 2-2,2,80,2258.364914,0.561158866,-47.28041,-46.38048,-48.45594,11.51486,2.07545,10292.4,16.80,0.48,1.1,2248.074225,68.69305859,0.018067376
2/28/2017,cNOR Rep 2-3,2,120,3262.653784,0.366007381,-45.7639,-45.7601,-46.78597,14.38368,1.02587,10292.4,19.78,0.50,0.9,3235.563627,88.98868521,0.010704297
2/28/2017,cNOR Rep 2-4,2,160,3159.670803,0.386018836,-45.40608,-45.30169,-45.81549,15.21638,0.5138,10292.4,16.92,0.48,0.8,3112.797989,94.59663323,0.012254155
2/28/2017,cNOR Rep 2-5,2,200,3266.700131,0.365221103,-45.42581,-45.22895,-45.50796,15.1643,0.27901,10292.4,15.23,0.48,0.7,3202.909936,106.5259791,0.012518101
2/28/2017,cNOR Rep 3-1,3,40,1038.600563,0.798181133,-47.62224,-45.52452,-48.27259,9.21578,2.74807,10292.4,9.88,0.52,1.4,1038.600563,56.23925676,0.044034254
2/28/2017,cNOR Rep 3-2,3,80,1787.742252,0.652609358,-47.75001,-46.31321,-48.58771,10.52665,2.27449,10292.4,13.29,0.49,1.1,1777.864257,67.95177732,0.025744265
2/28/2017,cNOR Rep 3-3,3,120,2655.098315,0.484066393,-47.03761,-45.95798,-48.21673,12.31779,2.25875,10292.4,16.09,0.48,0.9,2631.93465,83.32196061,0.01602717
2/28/2017,cNOR Rep 3-4,3,160,2954.620685,0.425863781,-46.00098,-45.61111,-46.42875,14.18808,0.81763,10292.4,15.84,0.48,0.8,2915.365029,93.54662789,0.014212884
2/28/2017,cNOR Rep 3-5,3,200,3481.168102,0.323546098,-45.28399,-45.08983,-45.62761,15.3822,0.53778,10292.4,16.29,0.48,0.7,3426.06807,107.3306941,0.010543898
2/28/2017,cNOR Rep 3-6,3,240,3429.165161,0.33365121,-45.55159,-45.03246,-45.57151,15.14514,0.53905,10292.4,13.69,0.48,0.6,3357.772686,124.3026745,0.012596734
